name
L. Messi
Cristiano Ronaldo
Neymar Jr
E. Hazard
K. De Bruyne
V. van Dijk
L. Modric
M. Salah
K. Mbappe
K. Koulibaly
H. Kane
N. Kante
G. Chiellini
S. Aguero
Sergio Ramos
L. Suarez
R. Lewandowski
Sergio Busquets
A. Griezmann
P. Dybala
P. Pogba
R. Sterling
C. Eriksen
Pique
David Silva
E. Cavani
D. Godin
T. Kroos
M. Reus
P. Aubameyang
S. Mane
A. Laporte
Bernardo Silva
Casemiro
H. Son
Fernandinho
Thiago Silva
K. Benzema
J. Vertonghen
D. Mertens
M. Hummels
T. Alderweireld
Jordi Alba
Thiago
L. Insigne
L. Sane
Marquinhos
M. Skriniar
M. Verratti
S. Umtiti
J. Kimmich
Isco
Roberto Firmino
I. Rakitic
M. Pjanic
A. Di Maria
L. Bonucci
Coutinho
Parejo
T. Muller
C. Immobile
A. Lacazette
M. de Ligt
F. de Jong
R. Varane
N. Sule
S. Milinkovic-Savic
Rodri
Saul
Fabinho
A. Robertson
J. Gimenez
C. Lenglet
Bruno Fernandes
R. Lukaku
K. Manolas
D. Alaba
M. Icardi
Carvajal
H. Ziyech
Z. Ibrahimovic
A. Gomez
G. Higuain
B. Matuidi
G. Bale
Marcelo
A. Witsel
Alex Sandro
Iago Aspas
Koke
J. Rodriguez
Allan
J. Sancho
K. Havertz
O. Dembele
Joao Cancelo
D. Alli
L. Hernandez
Arthur
M. Depay
L. Goretzka
J. Brandt
K. Coman
S. Gnabry
N. Fekir
Luis Alberto
Alex Telles
S. de Vrij
Felipe Anderson
Pepe
Joao Moutinho
M. Hamsik
Sokratis
Lucas Leiva
M. Ozil
Javi Martinez
E. Dzeko
G. Wijnaldum
I. Perisic
M. Mandzukic
A. Vidal
J. Boateng
Azpilicueta
Jose Callejon
I. Gundogan
Paulinho
K. Walker
Canales
Douglas Costa
Pizzi
D. Tadic
J. Ilicic
R. Mahrez
E. Visca
Felipe
Fabian
A. Romagnoli
G. Lo Celso
T. Alexander-Arnold
L. Jovic
A. Milik
A. Martial
Anderson Talisca
J. Tah
C. Tolisso
Goncalo Guedes
N. Pepe
M. Akanji
M. Rashford
J. Stones
A. Rabiot
Grimaldo
T. Werner
T. Lemar
D. Sanchez
Marco Asensio
L. Digne
J. Draxler
Y. Carrasco
Borja Iglesias
W. Zaha
Paco Alcacer
Morata
S. Haller
William Carvalho
F. Bernardeschi
D. Djene
Oscar
Bartra
Pablo Sarabia
Lucas Moura
F. Thauvin
Jorginho
V. Kompany
Raul Albiol
F. Quagliarella
Falcao
Miranda
C. Vela
E. Garay
R. Nainggolan
E. Banega
Diego Costa
S. Khedira
David Luiz
M. Kruse
J. Henderson
G. Sigursson
A. Ramsey
Illarramendi
D. Blind
N. Otamendi
J. Cuadrado
I. Gueye
K. Kampl
Rodrigo
C. Aranguiz
W. Ben Yedder
F. Acerbi
Danilo Pereira
A. Kramaric
Louri Beretta
Josue Chiamulera
Ronaldo Cabrais
Oyarzabal
L. Bailey
Gabriel Jesus
M. Kovacic
A. Belotti
N. Keita
L. Torreira
Ruben Neves
P. Kimpembe
S. Bergwijn
Nelson Semedo
D. Rugani
A. Correa
Inaki Williams
H. Lozano
Gelson Martins
T. Partey
K. Demirbay
J. Matip
Suso
S. Savic
A. Rudiger
Ricardo Pereira
N. Tagliafico
Muniain
M. Gotze
T. Delaney
Willian Jose
Sergi Roberto
N. Schulz
K. Volland
Nacho Fernandez
Gabriel Paulista
J. Roussillon
H. Maguire
T. Hazard
E. Forsberg
F. Kostic
M. Politano
Rafa
D. De Rossi
Aduriz
Jesus Navas
Santi Cazorla
H. Herrera
L. Biglia
Juan Mata
O. Giroud
S. Kjr
Willian
V. Corluka
M. Arnautovic
A. Sanchez
Giuliano
A. Kolarov
M. Balotelli
Marlos
Taison
B. Dost
G. Bonaventura
Pedro
L. de Jong
S. El Shaarawy
Ander Herrera
X. Shaqiri
Mario Fernandes
S. Coates
C. Bakambu
T. Meunier
K. Bellarabi
J. Lingard
Q. Promes
J. Vardy
D. Zapata
Morales
Juiano Mestres
Rosberto Dourado
L. Martinez
H. Aouar
T. Ndombele
Eder Militao
D. van de Beek
V. Lindelof
Dani Ceballos
Pablo Fornals
E. Can
Gaya
David Neres
P. Zielinski
G. Xhaka
Rafinha
G. Kondogbia
M. Sabitzer
L. Shaw
J. Martinez
A. Doucoure
W. Ndidi
W. Orban
A. Plea
Y. Poulsen
R. Fraser
M. Ginter
R. Guerreiro
Joao Mario
Thiago Mendes
A. Izzo
M. Brozovic
A. Ljajic
J. Corona
L. Milivojevic
Gerard Moreno
W. Weghorst
Quaresma
J. Mathieu
J. Milner
L. Lopez
B. Gomis
M. Dembele
Cesc Fabregas
L. Koscielny
Jardel
Renato Augusto
Jose Fonte
A. Guardado
L. Piszczek
K. Gameiro
D. Payet
Benat
B. Howedes
M. Sissoko
M. Parolo
Fernando
N. Gaitan
S. Giovinco
Luiz Gustavo
N. Nkoulou
N. Matic
Marcos Alonso
H. Mkhitaryan
Andre Almeida
A. Florenzi
E. Zahavi
F. Vazquez
Lucas Vazquez
Dani Garcia
M. Acuna
Laure Santeiro
Joao Felix
N. Barella
J. Gomez
A. Christensen
Y. Tielemans
Mario Hermoso
Carlos Soler
M. Caldara
H. Winks
K. Piatek
Diogo Jota
Marcos Llorente
F. Mendy
Melendo
Ruben Dias
Hector Bellerin
B. Mendy
Santi Mina
Rony Lopes
J. Correa
T. Bakayoko
M. Eggestein
Odriozola
M. Gomez
Sergi Darder
K. Zouma
L. Paredes
N. Ake
